"pizza_id","pizza_name_id","pizza_name","pizza_size","unit_price","pizza_category","pizza_ingredients"
"1","ital_supr_l","The Italian Supreme Pizza","L","20.75","Supreme","Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic"
"2","mexicana_s","The Mexicana Pizza","S","12","Veggie","Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic"
"3","spinach_fet_m","The Spinach and Feta Pizza","M","16","Veggie","Spinach, Mushrooms, Red Onions, Feta Cheese, Garlic"
"4","sicilian_m","The Sicilian Pizza","M","16.25","Supreme","Coarse Sicilian Salami, Tomatoes, Green Olives, Luganega Sausage, Onions, Garlic"
"5","ital_veggie_s","The Italian Vegetables Pizza","S","12.75","Veggie","Eggplant, Artichokes, Tomatoes, Zucchini, Red Peppers, Garlic, Pesto Sauce"
"6","ital_cpcllo_s","The Italian Capocollo Pizza","S","12","Classic","Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic, Oregano"
"7","prsc_argla_m","The Prosciutto and Arugula Pizza","M","16.5","Supreme","Prosciutto di San Daniele, Arugula, Mozzarella Cheese"
"8","southw_ckn_s","The Southwest Chicken Pizza","S","12.75","Chicken","Chicken, Tomatoes, Red Peppers, Red Onions, Jalapeno Peppers, Corn, Cilantro, Chipotle Sauce"
"9","spicy_ital_s","The Spicy Italian Pizza","S","12.5","Supreme","Capocollo, Tomatoes, Goat Cheese, Artichokes, Peperoncini verdi, Garlic"
"10","ital_cpcllo_m","The Italian Capocollo Pizza","M","16","Classic","Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic, Oregano"
"11","mediterraneo_l","The Mediterranean Pizza","L","20.25","Veggie","Spinach, Artichokes, Kalamata Olives, Sun-dried Tomatoes, Feta Cheese, Plum Tomatoes, Red Onions"
"12","mexicana_l","The Mexicana Pizza","L","20.25","Veggie","Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic"
"13","spin_pesto_m","The Spinach Pesto Pizza","M","16.5","Veggie","Spinach, Artichokes, Tomatoes, Sun-dried Tomatoes, Garlic, Pesto Sauce"
"14","southw_ckn_m","The Southwest Chicken Pizza","M","16.75","Chicken","Chicken, Tomatoes, Red Peppers, Red Onions, Jalapeno Peppers, Corn, Cilantro, Chipotle Sauce"
"15","four_cheese_l","The Four Cheese Pizza","L","17.95","Veggie","Ricotta Cheese, Gorgonzola Piccante Cheese, Mozzarella Cheese, Parmigiano Reggiano Cheese, Garlic"
"16","ital_supr_s","The Italian Supreme Pizza","S","12.5","Supreme","Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic"
"17","hawaiian_l","The Hawaiian Pizza","L","16.5","Classic","Sliced Ham, Pineapple, Mozzarella Cheese"
"18","pepperoni_l","The Pepperoni Pizza","L","15.25","Classic","Mozzarella Cheese, Pepperoni"
"19","hawaiian_s","The Hawaiian Pizza","S","10.5","Classic","Sliced Ham, Pineapple, Mozzarella Cheese"
"20","five_cheese_l","The Five Cheese Pizza","L","18.5","Veggie","Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese, Garlic"
"21","green_garden_l","The Green Garden Pizza","L","20.25","Veggie","Spinach, Mushrooms, Tomatoes, Green Olives, Feta Cheese"
"22","ital_veggie_m","The Italian Vegetables Pizza","M","16.75","Veggie","Eggplant, Artichokes, Tomatoes, Zucchini, Red Peppers, Garlic, Pesto Sauce"
"23","spinach_fet_l","The Spinach and Feta Pizza","L","20.25","Veggie","Spinach, Mushrooms, Red Onions, Feta Cheese, Garlic"
"24","mexicana_m","The Mexicana Pizza","M","16","Veggie","Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic"
"25","peppr_salami_m","The Pepper Salami Pizza","M","16.5","Supreme","Genoa Salami, Capocollo, Pepperoni, Tomatoes, Asiago Cheese, Garlic"
"26","calabrese_l","The Calabrese Pizza","L","20.25","Supreme","?duja Salami, Pancetta, Tomatoes, Red Onions, Friggitello Peppers, Garlic"
