"order_id","pizza_id","order_datetime","quantity","total_price"
1,"40","2015-01-01 11:38:36",1,"13.25"
2,"54","2015-01-01 11:57:40",1,"16"
2,"20","2015-01-01 11:57:40",1,"18.5"
2,"1","2015-01-01 11:57:40",1,"20.75"
2,"24","2015-01-01 11:57:40",1,"16"
2,"74","2015-01-01 11:57:40",1,"20.75"
3,"39","2015-01-01 12:12:28",1,"16.5"
3,"60","2015-01-01 12:12:28",1,"20.75"
4,"39","2015-01-01 12:16:31",1,"16.5"
5,"39","2015-01-01 12:21:30",1,"16.5"
6,"31","2015-01-01 12:29:36",1,"12.75"
6,"48","2015-01-01 12:29:36",1,"12"
7,"42","2015-01-01 12:50:37",1,"12.5"
8,"42","2015-01-01 12:51:37",1,"12.5"
9,"37","2015-01-01 12:52:01",1,"12"
9,"85","2015-01-01 12:52:01",1,"12"
9,"36","2015-01-01 12:52:01",1,"20.5"
9,"1","2015-01-01 12:52:01",1,"20.75"
9,"16","2015-01-01 12:52:01",1,"12.5"
9,"2","2015-01-01 12:52:01",1,"12"
9,"33","2015-01-01 12:52:01",1,"20.75"
9,"73","2015-01-01 12:52:01",1,"20.75"
9,"67","2015-01-01 12:52:01",1,"12"
10,"12","2015-01-01 13:00:15",1,"20.25"
10,"79","2015-01-01 13:00:15",1,"20.75"
11,"44","2015-01-01 13:02:59",1,"20.75"
11,"32","2015-01-01 13:02:59",1,"20.75"
11,"63","2015-01-01 13:02:59",1,"16.75"
11,"18","2015-01-01 13:02:59",1,"15.25"
12,"32","2015-01-01 13:04:41",1,"20.75"
12,"50","2015-01-01 13:04:41",1,"12.75"
12,"66","2015-01-01 13:04:41",1,"20.75"
12,"39","2015-01-01 13:04:41",1,"16.5"
13,"12","2015-01-01 13:11:55",1,"20.25"
14,"48","2015-01-01 13:14:19",1,"12"
15,"56","2015-01-01 13:33:00",1,"12"
15,"20","2015-01-01 13:33:00",1,"18.5"
15,"30","2015-01-01 13:33:00",1,"20.75"
15,"48","2015-01-01 13:33:00",1,"12"
16,"15","2015-01-01 13:34:07",1,"17.95"
16,"72","2015-01-01 13:34:07",1,"12"
16,"74","2015-01-01 13:34:07",1,"20.75"
17,"44","2015-01-01 13:53:00",1,"20.75"
17,"38","2015-01-01 13:53:00",1,"16.25"
17,"20","2015-01-01 13:53:00",1,"18.5"
17,"89","2015-01-01 13:53:00",1,"14.75"
17,"39","2015-01-01 13:53:00",1,"16.5"
17,"5","2015-01-01 13:53:00",1,"12.75"
17,"71","2015-01-01 13:53:00",2,"32"
17,"12","2015-01-01 13:53:00",1,"20.25"
17,"62","2015-01-01 13:53:00",1,"12.5"
17,"23","2015-01-01 13:53:00",1,"20.25"
18,"84","2015-01-01 13:57:08",1,"20.5"
19,"36","2015-01-01 13:59:09",1,"20.5"
19,"75","2015-01-01 13:59:09",1,"20.25"
20,"56","2015-01-01 14:03:08",1,"12"
20,"20","2015-01-01 14:03:08",1,"18.5"
21,"36","2015-01-01 14:14:29",1,"20.5"
22,"20","2015-01-01 14:16:26",1,"18.5"
22,"10","2015-01-01 14:16:26",1,"16"
22,"79","2015-01-01 14:16:26",1,"20.75"
23,"8","2015-01-01 14:19:03",1,"12.75"
24,"86","2015-01-01 14:23:01",1,"16.75"
24,"10","2015-01-01 14:23:01",1,"16"
